Suburb,h,t,u
South Yarra,160610800,23547000,162977050
Southbank,2735000,0,35997000
Spotswood,34923500,5047500,4694000
Springvale,24251500,685000,5239000
Springvale South,4723500,0,1150000
St Albans,48727600,4651500,6320500
St Helena,9408000,0,0
St Kilda,118940000,4602000,131591050
Strathmore,160184000,12229000,9621500
Strathmore Heights,9797499,800000,750000
Sunbury,74321500,496000,760000
Sunshine,121340799,6495000,6888000
Sunshine North,74992100,1490000,3996000
Sunshine West,92423800,4946000,6175500
Surrey Hills,261333500,20429000,36881000
Sydenham,11805500,895000,2277500
Tarneit,17850250,0,1576500
Taylors Hill,22120000,0,0
Taylors Lakes,42000500,935000,500000
Tecoma,855000,0,0
Templestowe,97776054,8767000,0
Templestowe Lower,186476000,14628500,7987500
The Basin,2338200,0,0
Thomastown,43175500,406500,8673000
Thornbury,187045888,33693000,34443643
Toorak,162854000,28780000,93059301
Travancore,12906000,856000,1849500
Truganina,8459000,740000,1293350
Tullamarine,19659500,2620000,6004500
Upwey,1650000,0,0
Vermont,29155500,3612000,2046000
Vermont South,37316000,931000,750000
Viewbank,69842250,885000,3908000
Wallan,5757000,0,0
Wandin North,1150000,0,0
Wantirna,38840188,790000,0
Wantirna South,45604001,2870000,1192000
Warrandyte,16529000,0,0
Warranwood,2895000,0,0
Waterways,4414000,0,0
Watsonia,56041300,2877000,7588500
Watsonia North,19243000,0,0
Wattle Glen,1975000,0,0
Werribee,73558450,0,3362000
Werribee South,995000,0,0
West Footscray,111582500,7266000,12441000
West Melbourne,28233000,12150000,14532500
Westmeadows,22667250,2160000,1544000
Wheelers Hill,79796083,1160000,0
Whittlesea,1956000,0,0
Wildwood,1030000,0,0
Williams Landing,3906000,475000,0
Williamstown,213165000,9757500,12216500
Williamstown North,20073000,1890000,3373500
Windsor,56634000,3225000,25615000
Wollert,28606900,1690000,390000
Wonga Park,2715000,0,0
Wyndham Vale,26761800,0,371000
Yallambie,34032750,2235000,671000
Yarra Glen,620000,0,0
Yarraville,217012500,17893500,12905243
