Distance,Type,Average_Price,Average_Price_rounded
24.8,Unit,573500,573500
25,Home,838340.5405,838341
25,Townhouse,740000,740000
25,Unit,658750,658750
25.2,Home,865589.2857,865589
25.2,Townhouse,688000,688000
25.5,Home,608657.4468,608657
25.5,Townhouse,422500,422500
25.5,Unit,390000,390000
25.9,Home,601774,601774
25.9,Townhouse,482500,482500
25.9,Unit,530000,530000
26,Home,751705.8824,751706
26,Unit,595000,595000
26.1,Home,695000,695000
26.5,Home,767189.1892,767189
26.5,Townhouse,665000,665000
26.5,Unit,,0
27,Home,928402.7143,928403
27,Townhouse,868500,868500
27,Unit,649714.2857,649714
27.1,Home,763664.6667,763665
27.1,Townhouse,,0
27.2,Home,514650,514650
27.2,Unit,371000,371000
27.7,Home,487571.4286,487571
27.7,Unit,397000,397000
28.5,Home,739840.9091,739841
28.8,Home,548928.5714,548929
28.8,Unit,471000,471000
29.3,Home,825000,825000
29.5,Home,690000,690000
29.8,Home,438148.3051,438148
29.8,Unit,285000,285000
29.9,Home,750833.3333,750833
30.4,Home,855000,855000
30.6,Home,,0
31.2,Home,804911.7647,804912
31.2,Townhouse,750000,750000
31.2,Unit,615850,615850
31.4,Home,620000,620000
31.6,Home,590750,590750
31.7,Home,505657.1429,505657
31.7,Townhouse,496000,496000
31.7,Unit,380000,380000
32.3,Home,713722.2222,713722
32.6,Home,,0
33,Home,630000,630000
33.3,Home,577600,577600
33.8,Home,613750,613750
34.1,Home,650033.3333,650033
34.1,Townhouse,495000,495000
34.1,Unit,398000,398000
34.6,Home,1077500,1077500
34.7,Home,612109.4815,612109
34.9,Home,556477.2727,556477
34.9,Unit,420000,420000
35.2,Home,821358.9744,821359
35.2,Unit,665000,665000
35.4,Home,754642.8571,754643
35.4,Townhouse,576500,576500
35.4,Unit,510666.6667,510667
35.5,Home,489000,489000
36.9,Home,538625,538625
37.5,Home,414400,414400
38,Home,787954.0086,787954
38,Townhouse,639166.6667,639167
38,Unit,425437.5,425438
39,Home,670000,670000
39,Unit,537000,537000
39.8,Home,719500,719500
41,Home,641958.3333,641958
41,Unit,394666.6667,394667
43.3,Home,594750,594750
43.4,Home,633000,633000
44.2,Home,523363.6364,523364
45.2,Home,688000,688000
45.9,Home,750150,750150
47.3,Home,522933.3333,522933
47.3,Townhouse,,0
47.4,Home,793625,793625
48.1,Home,790500,790500
